iter	Passed	Remaining
0	95	95605
1	133	66398
2	169	56480
3	209	52072
4	244	48691
5	278	46132
6	315	44801
7	354	43902
8	391	43059
9	427	42353
10	462	41623
11	499	41087
12	535	40665
13	572	40316
14	608	39970
15	643	39605
16	684	39562
17	717	39135
18	753	38911
19	787	38603
20	825	38462
21	861	38310
22	898	38186
23	937	38115
24	967	37740
25	1010	37866
26	1060	38208
27	1099	38155
28	1133	37961
29	1163	37615
30	1196	37411
31	1235	37375
32	1272	37292
33	1310	37242
34	1347	37164
35	1387	37150
36	1423	37055
37	1466	37123
38	1504	37065
39	1538	36916
40	1576	36881
41	1614	36822
42	1651	36763
43	1691	36747
44	1729	36703
45	1767	36659
46	1801	36522
47	1836	36425
48	1871	36327
49	1910	36303
50	1946	36225
51	1981	36130
52	2019	36092
53	2051	35935
54	2090	35914
55	2128	35883
56	2162	35778
57	2196	35675
58	2234	35633
59	2263	35466
60	2299	35393
61	2332	35283
62	2369	35241
63	2404	35171
64	2441	35115
65	2481	35121
66	2520	35095
67	2559	35080
68	2592	34986
69	2631	34959
70	2671	34954
71	2711	34951
72	2746	34875
73	2786	34873
74	2820	34783
75	2857	34742
76	2898	34742
77	2934	34692
78	2968	34605
79	3002	34530
80	3041	34502
81	3078	34460
82	3113	34400
83	3147	34319
84	3181	34250
85	3215	34174
86	3253	34143
87	3287	34073
88	3333	34120
89	3369	34073
90	3404	34005
91	3429	33845
92	3463	33775
93	3498	33720
94	3534	33668
95	3572	33640
96	3607	33582
97	3639	33499
98	3677	33466
99	3711	33404
100	3748	33361
101	3786	33340
102	3822	33291
103	3859	33247
104	3897	33217
105	3927	33127
106	3966	33102
107	4005	33082
108	4045	33065
109	4083	33035
110	4119	32995
111	4155	32946
112	4191	32900
113	4229	32868
114	4263	32813
115	4304	32805
116	4345	32794
117	4381	32751
118	4416	32698
119	4450	32637
120	4486	32591
121	4516	32500
122	4551	32453
123	4591	32438
124	4625	32375
125	4663	32350
126	4703	32334
127	4739	32289
128	4775	32242
129	4814	32222
130	4849	32172
131	4889	32153
132	4928	32124
133	4964	32084
134	4995	32010
135	5032	31970
136	5066	31912
137	5101	31867
138	5139	31833
139	5173	31777
140	5211	31751
141	5242	31673
142	5280	31644
143	5316	31605
144	5353	31568
145	5391	31533
146	5426	31491
147	5464	31458
148	5501	31422
149	5537	31378
150	5573	31337
151	5607	31283
152	5643	31240
153	5681	31210
154	5714	31153
155	5753	31128
156	5796	31122
157	5825	31044
158	5862	31007
159	5893	30939
160	5929	30898
161	5969	30881
162	6002	30821
163	6036	30773
164	6073	30733
165	6108	30690
166	6142	30639
167	6181	30611
168	6218	30579
169	6250	30517
170	6285	30473
171	6323	30441
172	6355	30381
173	6391	30343
174	6428	30304
175	6463	30260
176	6494	30199
177	6526	30138
178	6559	30085
179	6597	30054
180	6636	30031
181	6676	30005
182	6710	29961
183	6749	29934
184	6786	29897
185	6824	29867
186	6862	29835
187	6898	29794
188	6938	29774
189	6971	29722
190	7002	29659
191	7041	29632
192	7074	29582
193	7108	29532
194	7142	29485
195	7177	29440
196	7218	29422
197	7256	29392
198	7297	29371
199	7335	29342
200	7373	29310
201	7413	29285
202	7445	29231
203	7479	29186
204	7515	29147
205	7549	29099
206	7588	29069
207	7625	29035
208	7659	28989
209	7696	28954
210	7729	28904
211	7768	28874
212	7804	28834
213	7834	28773
214	7870	28736
215	7906	28696
216	7943	28662
217	7984	28642
218	8023	28613
219	8057	28568
220	8094	28531
221	8130	28493
222	8165	28449
223	8202	28415
224	8237	28372
225	8269	28322
226	8307	28289
227	8339	28237
228	8373	28192
229	8412	28162
230	8448	28124
231	8484	28088
232	8523	28058
233	8561	28025
234	8594	27979
235	8632	27945
236	8667	27903
237	8701	27858
238	8739	27827
239	8781	27809
240	8816	27766
241	8853	27731
242	8895	27711
243	8930	27669
244	8968	27636
245	9006	27606
246	9045	27577
247	9082	27539
248	9122	27513
249	9160	27482
250	9193	27434
251	9230	27399
252	9271	27373
253	9304	27327
254	9340	27289
255	9376	27251
256	9417	27225
257	9450	27180
258	9487	27144
259	9525	27112
260	9564	27082
261	9595	27029
262	9625	26972
263	9662	26936
264	9689	26874
265	9727	26842
266	9760	26796
267	9797	26760
268	9832	26718
269	9868	26680
270	9908	26653
271	9946	26620
272	9983	26586
273	10019	26546
274	10055	26511
275	10093	26478
276	10126	26430
277	10163	26395
278	10200	26359
279	10238	26328
280	10280	26305
281	10319	26274
282	10351	26225
283	10389	26193
284	10428	26162
285	10466	26129
286	10506	26100
287	10536	26048
288	10577	26021
289	10609	25973
290	10647	25941
291	10684	25906
292	10724	25878
293	10758	25835
294	10795	25799
295	10832	25762
296	10865	25719
297	10903	25686
298	10940	25650
299	10980	25620
300	11014	25578
301	11055	25551
302	11091	25513
303	11130	25482
304	11167	25448
305	11202	25407
306	11238	25370
307	11275	25334
308	11310	25292
309	11340	25241
310	11368	25186
311	11406	25152
312	11436	25102
313	11473	25067
314	11507	25024
315	11543	24985
316	11583	24956
317	11616	24913
318	11650	24870
319	11690	24841
320	11729	24810
321	11759	24761
322	11804	24742
323	11844	24712
324	11876	24667
325	11916	24636
326	11954	24604
327	11993	24573
328	12030	24536
329	12065	24496
330	12102	24461
331	12141	24429
332	12181	24399
333	12216	24359
334	12254	24325
335	12289	24286
336	12321	24241
337	12355	24199
338	12390	24158
339	12423	24115
340	12459	24078
341	12502	24053
342	12537	24015
343	12575	23982
344	12609	23940
345	12638	23889
346	12672	23846
347	12709	23812
348	12747	23778
349	12788	23750
350	12824	23712
351	12858	23671
352	12896	23637
353	12931	23599
354	12970	23566
355	13005	23526
356	13041	23490
357	13070	23438
358	13101	23393
359	13141	23363
360	13182	23333
361	13218	23296
362	13263	23274
363	13302	23242
364	13340	23208
365	13376	23170
366	13412	23133
367	13447	23095
368	13485	23060
369	13523	23026
370	13555	22981
371	13588	22939
372	13625	22903
373	13661	22867
374	13698	22830
375	13735	22795
376	13773	22761
377	13806	22718
378	13838	22674
379	13869	22628
380	13905	22592
381	13943	22557
382	13978	22518
383	14006	22469
384	14034	22418
385	14066	22375
386	14102	22338
387	14139	22303
388	14172	22261
389	14207	22221
390	14241	22181
391	14280	22148
392	14316	22112
393	14353	22076
394	14390	22041
395	14425	22002
396	14461	21965
397	14502	21936
398	14538	21899
399	14574	21861
400	14608	21821
401	14639	21777
402	14674	21738
403	14709	21699
404	14744	21661
405	14786	21632
406	14824	21599
407	14862	21565
408	14902	21533
409	14935	21492
410	14967	21450
411	14999	21407
412	15039	21375
413	15080	21345
414	15115	21307
415	15154	21275
416	15190	21237
417	15219	21191
418	15254	21152
419	15290	21115
420	15328	21081
421	15364	21044
422	15401	21008
423	15436	20970
424	15474	20936
425	15504	20891
426	15536	20848
427	15569	20807
428	15598	20761
429	15636	20728
430	15672	20690
431	15710	20656
432	15746	20619
433	15785	20586
434	15819	20546
435	15855	20510
436	15890	20471
437	15926	20435
438	15965	20401
439	15999	20363
440	16039	20331
441	16078	20298
442	16115	20262
443	16149	20222
444	16186	20187
445	16222	20150
446	16257	20112
447	16293	20076
448	16329	20039
449	16367	20004
450	16399	19963
451	16435	19926
452	16471	19889
453	16507	19853
454	16543	19815
455	16579	19779
456	16616	19743
457	16649	19702
458	16687	19668
459	16721	19630
460	16761	19597
461	16798	19562
462	16840	19531
463	16876	19495
464	16918	19464
465	16953	19427
466	16990	19391
467	17028	19357
468	17067	19323
469	17105	19289
470	17146	19257
471	17182	19220
472	17219	19185
473	17253	19145
474	17288	19107
475	17323	19070
476	17363	19037
477	17400	19001
478	17439	18968
479	17480	18936
480	17507	18891
481	17546	18856
482	17581	18819
483	17618	18783
484	17655	18747
485	17692	18711
486	17728	18675
487	17762	18635
488	17801	18602
489	17836	18564
490	17876	18532
491	17915	18498
492	17955	18465
493	17987	18424
494	18020	18384
495	18057	18348
496	18093	18311
497	18128	18273
498	18170	18242
499	18213	18213
500	18251	18178
501	18284	18139
502	18320	18102
503	18353	18062
504	18389	18025
505	18427	17990
506	18460	17951
507	18496	17913
508	18530	17874
509	18568	17839
510	18603	17802
511	18641	17767
512	18676	17730
513	18715	17695
514	18750	17658
515	18780	17616
516	18819	17582
517	18853	17543
518	18885	17503
519	18925	17470
520	18964	17435
521	18998	17397
522	19033	17359
523	19072	17325
524	19105	17286
525	19143	17250
526	19181	17216
527	19220	17182
528	19257	17146
529	19300	17115
530	19359	17099
531	19398	17064
532	19441	17034
533	19483	17002
534	19514	16960
535	19550	16923
536	19585	16886
537	19621	16849
538	19655	16811
539	19692	16775
540	19728	16738
541	19761	16698
542	19792	16658
543	19827	16620
544	19863	16583
545	19897	16544
546	19931	16505
547	19971	16473
548	20009	16437
549	20043	16398
550	20076	16359
551	20114	16324
552	20149	16286
553	20186	16251
554	20222	16214
555	20256	16176
556	20291	16138
557	20328	16102
558	20364	16065
559	20402	16030
560	20438	15993
561	20475	15957
562	20510	15919
563	20543	15881
564	20573	15839
565	20608	15802
566	20643	15764
567	20680	15728
568	20713	15689
569	20745	15650
570	20790	15620
571	20830	15586
572	20862	15546
573	20895	15507
574	20930	15470
575	20970	15436
576	21007	15400
577	21045	15365
578	21079	15327
579	21113	15289
580	21148	15251
581	21182	15213
582	21216	15175
583	21253	15139
584	21293	15105
585	21323	15064
586	21361	15029
587	21397	14992
588	21433	14956
589	21468	14918
590	21503	14881
591	21540	14845
592	21577	14809
593	21617	14775
